DATE,CAPUTLG3361T3S
1978-03-01,89.8128
1978-04-01,93.5342
1978-05-01,90.4416
1978-06-01,90.2415
1978-07-01,92.0170
1978-08-01,91.8786
1978-09-01,91.2151
1978-10-01,92.5236
1978-11-01,94.9399
1978-12-01,93.6719
1979-01-01,94.6975
1979-02-01,91.5659
1979-03-01,90.7868
1979-04-01,80.8607
1979-05-01,87.1180
1979-06-01,83.3302
1979-07-01,79.9422
1979-08-01,71.5055
1979-09-01,77.0377
1979-10-01,74.3040
1979-11-01,69.8290
1979-12-01,69.3380
1980-01-01,64.7977
1980-02-01,68.3623
1980-03-01,65.0053
1980-04-01,59.2207
1980-05-01,53.1524
1980-06-01,53.4784
1980-07-01,53.6325
1980-08-01,53.3215
1980-09-01,58.7578
1980-10-01,61.6142
1980-11-01,64.4610
1980-12-01,61.0817
1981-01-01,58.5988
1981-02-01,57.7138
1981-03-01,60.0239
1981-04-01,61.7822
1981-05-01,62.5193
1981-06-01,62.0609
1981-07-01,59.8057
1981-08-01,57.6344
1981-09-01,54.1187
1981-10-01,54.1365
1981-11-01,50.5214
1981-12-01,48.1072
1982-01-01,44.2885
1982-02-01,46.2072
1982-03-01,49.1765
1982-04-01,51.7461
1982-05-01,53.8159
1982-06-01,54.3595
1982-07-01,56.8103
1982-08-01,53.2885
1982-09-01,51.0719
1982-10-01,48.0684
1982-11-01,48.3512
1982-12-01,51.6782
1983-01-01,54.9761
1983-02-01,58.8295
1983-03-01,59.1293
1983-04-01,60.8769
1983-05-01,62.9115
1983-06-01,65.6621
1983-07-01,67.9288
1983-08-01,72.3591
1983-09-01,74.1758
1983-10-01,75.8244
1983-11-01,76.1312
1983-12-01,78.7579
1984-01-01,83.2913
1984-02-01,82.1213
1984-03-01,82.9764
1984-04-01,80.5394
1984-05-01,79.0046
1984-06-01,79.5898
1984-07-01,81.9072
1984-08-01,83.5911
1984-09-01,79.9199
1984-10-01,79.1599
1984-11-01,82.9780
1984-12-01,85.1901
1985-01-01,86.8339
1985-02-01,83.5693
1985-03-01,84.1009
1985-04-01,83.2974
1985-05-01,82.5674
1985-06-01,82.2567
1985-07-01,85.0369
1985-08-01,83.7583
1985-09-01,83.0441
1985-10-01,82.1918
1985-11-01,83.5669
1985-12-01,81.3280
1986-01-01,84.4087
1986-02-01,83.2457
1986-03-01,80.4186
1986-04-01,78.3185
1986-05-01,77.2895
1986-06-01,78.7107
1986-07-01,78.4102
1986-08-01,76.8177
1986-09-01,78.8830
1986-10-01,76.6330
1986-11-01,77.2703
1986-12-01,78.9041
1987-01-01,79.3321
1987-02-01,82.7384
1987-03-01,80.4425
1987-04-01,78.9863
1987-05-01,77.0246
1987-06-01,74.9329
1987-07-01,73.9562
1987-08-01,74.3195
1987-09-01,75.8806
1987-10-01,80.4153
1987-11-01,79.8556
1987-12-01,77.7241
1988-01-01,77.1589
1988-02-01,78.0259
1988-03-01,79.0803
1988-04-01,83.0159
1988-05-01,84.0189
1988-06-01,84.8289
1988-07-01,78.7616
1988-08-01,80.8426
1988-09-01,84.2492
1988-10-01,85.2561
1988-11-01,87.4966
1988-12-01,88.8620
1989-01-01,90.4558
1989-02-01,89.0860
1989-03-01,86.3950
1989-04-01,85.8456
1989-05-01,82.6264
1989-06-01,78.8459
1989-07-01,73.4814
1989-08-01,79.3968
1989-09-01,78.8390
1989-10-01,74.5351
1989-11-01,75.7893
