DATE,CAPUTLGMFDS
2010-02-01,65.2162
2010-03-01,66.5072
2010-04-01,67.5209
2010-05-01,68.9582
2010-06-01,69.0758
2010-07-01,70.0480
2010-08-01,70.0358
2010-09-01,70.2661
2010-10-01,70.5667
2010-11-01,70.7317
2010-12-01,71.1250
2011-01-01,71.5775
2011-02-01,72.0091
2011-03-01,72.3840
2011-04-01,71.5539
2011-05-01,71.9769
2011-06-01,72.0185
2011-07-01,72.4986
2011-08-01,72.9240
2011-09-01,73.1381
2011-10-01,73.5796
2011-11-01,73.5154
2011-12-01,74.1699
2012-01-01,74.9967
2012-02-01,75.2526
2012-03-01,75.0851
2012-04-01,75.5954
2012-05-01,75.2804
2012-06-01,75.5040
2012-07-01,75.2306
2012-08-01,74.9038
2012-09-01,74.4612
2012-10-01,74.1760
2012-11-01,74.8846
2012-12-01,75.4377
2013-01-01,74.7760
2013-02-01,75.3251
2013-03-01,75.2787
2013-04-01,74.7996
2013-05-01,74.6821
2013-06-01,74.8044
2013-07-01,73.7073
2013-08-01,74.8278
2013-09-01,75.1125
2013-10-01,75.0904
2013-11-01,75.3428
2013-12-01,74.7844
2014-01-01,73.9085
2014-02-01,75.1230
2014-03-01,75.9438
2014-04-01,75.5255
2014-05-01,76.3003
2014-06-01,76.5125
2014-07-01,77.2894
2014-08-01,76.4582
2014-09-01,76.5256
2014-10-01,76.6175
2014-11-01,77.3211
2014-12-01,76.8457
2015-01-01,76.5183
2015-02-01,75.7514
2015-03-01,75.9394
2015-04-01,75.6602
2015-05-01,75.8656
2015-06-01,75.3771
2015-07-01,76.0372
2015-08-01,75.3788
2015-09-01,74.8040
2015-10-01,74.6389
2015-11-01,74.0283
2015-12-01,73.6710
2016-01-01,74.0243
2016-02-01,73.4561
2016-03-01,72.9505
2016-04-01,72.7778
2016-05-01,72.6195
2016-06-01,72.9952
2016-07-01,73.3602
2016-08-01,72.8739
2016-09-01,72.8863
2016-10-01,73.1845
2016-11-01,73.1334
