DATE,CAPUTLG311A2S
2006-01-01,80.1346
2006-02-01,79.6419
2006-03-01,79.0357
2006-04-01,79.4394
2006-05-01,78.3068
2006-06-01,77.9814
2006-07-01,78.0512
2006-08-01,78.1552
2006-09-01,78.1809
2006-10-01,78.9664
2006-11-01,79.3513
2006-12-01,79.3726
2007-01-01,79.2482
2007-02-01,79.3126
2007-03-01,78.6917
2007-04-01,79.0717
2007-05-01,78.6160
2007-06-01,78.8990
2007-07-01,79.1098
2007-08-01,77.8095
2007-09-01,78.3166
2007-10-01,77.2420
2007-11-01,77.3384
2007-12-01,77.3486
2008-01-01,77.0603
2008-02-01,76.7025
2008-03-01,76.7942
2008-04-01,76.7277
2008-05-01,76.6553
2008-06-01,75.7840
2008-07-01,76.0365
2008-08-01,75.6252
2008-09-01,76.1127
2008-10-01,76.6674
2008-11-01,76.7216
2008-12-01,75.1443
2009-01-01,75.5842
2009-02-01,76.7236
2009-03-01,76.3461
2009-04-01,76.1260
2009-05-01,76.8136
2009-06-01,76.2652
2009-07-01,75.6913
2009-08-01,76.3264
2009-09-01,76.0236
2009-10-01,76.3443
2009-11-01,76.3869
2009-12-01,76.1211
2010-01-01,76.3368
2010-02-01,76.1131
2010-03-01,76.2746
2010-04-01,75.9263
2010-05-01,77.1674
2010-06-01,76.7715
2010-07-01,76.6155
2010-08-01,77.7231
2010-09-01,77.7683
2010-10-01,78.5168
2010-11-01,77.6770
2010-12-01,78.0677
2011-01-01,78.1797
2011-02-01,77.8870
2011-03-01,78.2235
2011-04-01,79.0500
2011-05-01,78.7865
2011-06-01,78.5940
2011-07-01,79.1309
2011-08-01,78.9538
2011-09-01,78.6206
2011-10-01,79.4935
2011-11-01,78.8543
2011-12-01,78.6355
2012-01-01,78.9101
2012-02-01,78.7310
2012-03-01,77.6921
2012-04-01,78.1058
2012-05-01,78.3042
2012-06-01,78.2424
2012-07-01,78.8888
2012-08-01,78.6214
2012-09-01,79.3879
2012-10-01,77.6175
2012-11-01,78.4534
2012-12-01,78.7086
2013-01-01,78.7764
2013-02-01,79.4010
2013-03-01,78.6413
2013-04-01,78.0866
2013-05-01,78.3065
2013-06-01,79.3099
2013-07-01,78.1362
2013-08-01,78.2975
2013-09-01,77.9717
2013-10-01,78.1909
2013-11-01,77.6717
2013-12-01,78.6093
2014-01-01,76.7650
2014-02-01,77.3658
2014-03-01,77.2782
2014-04-01,77.4386
2014-05-01,76.9530
2014-06-01,76.6721
2014-07-01,75.7796
2014-08-01,75.6831
2014-09-01,75.7883
2014-10-01,76.0874
2014-11-01,76.8832
2014-12-01,76.6030
2015-01-01,76.2707
2015-02-01,75.7022
2015-03-01,77.0183
2015-04-01,76.8463
2015-05-01,76.6695
2015-06-01,76.4413
2015-07-01,76.8938
2015-08-01,77.6914
2015-09-01,77.0808
2015-10-01,76.7358
2015-11-01,77.3091
2015-12-01,77.1900
2016-01-01,77.7280
2016-02-01,77.0851
2016-03-01,76.9411
2016-04-01,76.4636
2016-05-01,76.6106
2016-06-01,76.8049
2016-07-01,76.1551
2016-08-01,76.0655
2016-09-01,76.1428
2016-10-01,76.0097
2016-11-01,75.7521
2016-12-01,76.1021
2017-01-01,76.5552
2017-02-01,76.7794
2017-03-01,76.1963
2017-04-01,76.7778
2017-05-01,76.7508
2017-06-01,76.6362
2017-07-01,76.9268
2017-08-01,77.1390
2017-09-01,77.0277
2017-10-01,77.0393
2017-11-01,76.8785
2017-12-01,77.1127
2018-01-01,76.5488
2018-02-01,78.1373
2018-03-01,77.2649
2018-04-01,77.9030
2018-05-01,77.3169
2018-06-01,77.4551
2018-07-01,77.7987
2018-08-01,77.2894
2018-09-01,77.0956
2018-10-01,75.8324
2018-11-01,75.3851
2018-12-01,76.0418
2019-01-01,76.1058
2019-02-01,75.8823
2019-03-01,76.1501
2019-04-01,75.2757
2019-05-01,75.1019
2019-06-01,76.7693
2019-07-01,74.8021
2019-08-01,74.5659
2019-09-01,74.7502
2019-10-01,75.0512
2019-11-01,74.8867
2019-12-01,76.4417
2020-01-01,75.7705
2020-02-01,75.7328
2020-03-01,74.4294
2020-04-01,69.1182
2020-05-01,70.8889
2020-06-01,74.1322
2020-07-01,73.5305
2020-08-01,74.7931
2020-09-01,74.5992
2020-10-01,74.8882
2020-11-01,75.6297
