DATE,CAPUTLHITEK2S
1996-07-01,82.5135
1996-08-01,82.5001
1996-09-01,82.1785
1996-10-01,82.2119
1996-11-01,81.3274
1996-12-01,80.7546
1997-01-01,80.2158
1997-02-01,81.6245
1997-03-01,82.4121
1997-04-01,82.9493
1997-05-01,83.9754
1997-06-01,84.2784
1997-07-01,84.2535
1997-08-01,84.8962
1997-09-01,85.2608
1997-10-01,84.5893
1997-11-01,84.4075
1997-12-01,83.6510
1998-01-01,83.0361
1998-02-01,81.1914
1998-03-01,79.3242
1998-04-01,78.5582
1998-05-01,76.8348
1998-06-01,76.5997
1998-07-01,77.1178
1998-08-01,77.8105
1998-09-01,78.7139
1998-10-01,79.4148
1998-11-01,79.8310
1998-12-01,80.7482
1999-01-01,81.9548
1999-02-01,83.3555
1999-03-01,84.2227
1999-04-01,85.6097
1999-05-01,85.9295
1999-06-01,86.5318
1999-07-01,88.3288
1999-08-01,86.7340
1999-09-01,85.1344
1999-10-01,84.9345
1999-11-01,85.3361
1999-12-01,85.7359
2000-01-01,86.7754
2000-02-01,87.5519
2000-03-01,88.2364
2000-04-01,88.9620
2000-05-01,89.8971
2000-06-01,89.2265
2000-07-01,89.9607
2000-08-01,89.0744
2000-09-01,88.1169
2000-10-01,86.6873
2000-11-01,86.2987
2000-12-01,85.6347
2001-01-01,83.0350
2001-02-01,80.0331
2001-03-01,78.0757
2001-04-01,74.9059
2001-05-01,72.2208
2001-06-01,69.3127
2001-07-01,65.5812
2001-08-01,63.7550
2001-09-01,62.7217
2001-10-01,61.7536
2001-11-01,59.9952
2001-12-01,60.2515
2002-01-01,58.9044
2002-02-01,59.4077
2002-03-01,59.1772
2002-04-01,58.8292
2002-05-01,58.2525
2002-06-01,58.2817
2002-07-01,57.9761
2002-08-01,58.1873
2002-09-01,57.9522
2002-10-01,57.2774
2002-11-01,57.2209
2002-12-01,56.9611
2003-01-01,57.1845
2003-02-01,58.5023
2003-03-01,58.8579
2003-04-01,59.4615
2003-05-01,60.6883
2003-06-01,62.3537
2003-07-01,64.2534
2003-08-01,65.2313
2003-09-01,66.1983
2003-10-01,67.5111
2003-11-01,68.5398
2003-12-01,68.8865
2004-01-01,70.0039
2004-02-01,70.6342
2004-03-01,70.8127
2004-04-01,70.4759
2004-05-01,70.6777
2004-06-01,70.4639
2004-07-01,70.0717
2004-08-01,70.3311
2004-09-01,70.7793
2004-10-01,70.8722
2004-11-01,70.5550
2004-12-01,70.8446
2005-01-01,71.9674
2005-02-01,72.7007
2005-03-01,72.3655
2005-04-01,72.6866
2005-05-01,72.4762
2005-06-01,72.0385
2005-07-01,72.5116
2005-08-01,73.5358
2005-09-01,75.0493
2005-10-01,76.4413
2005-11-01,76.8760
2005-12-01,77.5516
2006-01-01,78.0793
2006-02-01,79.0887
2006-03-01,79.6530
2006-04-01,80.2164
2006-05-01,81.2784
2006-06-01,82.3062
2006-07-01,82.5230
2006-08-01,83.7376
2006-09-01,84.6735
2006-10-01,83.9935
2006-11-01,83.3699
2006-12-01,82.5235
2007-01-01,81.3827
2007-02-01,81.0293
2007-03-01,82.2548
2007-04-01,83.1106
2007-05-01,79.9301
2007-06-01,75.5826
2007-07-01,73.8894
2007-08-01,73.1322
2007-09-01,73.4783
2007-10-01,75.1460
2007-11-01,76.9027
2007-12-01,77.3939
2008-01-01,77.6611
2008-02-01,79.2970
2008-03-01,81.0927
2008-04-01,82.2825
2008-05-01,84.0144
2008-06-01,85.0754
2008-07-01,84.4752
2008-08-01,84.3992
2008-09-01,83.7254
2008-10-01,80.7697
2008-11-01,76.2487
2008-12-01,71.9822
2009-01-01,71.1477
2009-02-01,71.7698
2009-03-01,72.6992
2009-04-01,73.3027
2009-05-01,73.3055
2009-06-01,72.8454
2009-07-01,72.9775
2009-08-01,72.7520
2009-09-01,73.3466
2009-10-01,73.8954
2009-11-01,74.5366
2009-12-01,74.4709
2010-01-01,76.6201
2010-02-01,79.0470
2010-03-01,80.7970
2010-04-01,81.6854
2010-05-01,82.1167
2010-06-01,81.6864
2010-07-01,82.0225
2010-08-01,82.4200
2010-09-01,82.2533
2010-10-01,81.8956
2010-11-01,82.5318
2010-12-01,83.9273
2011-01-01,83.9802
2011-02-01,82.6436
2011-03-01,80.6168
2011-04-01,78.9963
2011-05-01,78.1058
2011-06-01,77.1664
2011-07-01,75.6585
2011-08-01,75.7277
2011-09-01,74.1882
2011-10-01,72.4138
2011-11-01,71.9169
2011-12-01,71.7370
2012-01-01,71.1525
2012-02-01,71.5590
2012-03-01,71.8628
2012-04-01,72.2891
2012-05-01,72.3565
2012-06-01,72.7880
2012-07-01,72.1993
2012-08-01,70.9526
2012-09-01,71.5492
2012-10-01,72.3355
2012-11-01,71.5898
2012-12-01,71.0092
2013-01-01,70.5765
2013-02-01,69.6646
2013-03-01,69.2345
2013-04-01,69.4223
2013-05-01,69.4121
2013-06-01,69.3486
2013-07-01,69.6698
2013-08-01,69.8155
2013-09-01,69.5602
2013-10-01,69.5492
2013-11-01,69.6501
2013-12-01,69.1611
2014-01-01,68.9157
2014-02-01,69.9243
2014-03-01,70.7975
2014-04-01,71.3624
2014-05-01,72.7504
2014-06-01,73.3781
2014-07-01,73.5254
2014-08-01,73.9228
2014-09-01,74.1509
2014-10-01,74.3016
2014-11-01,74.9767
2014-12-01,74.7591
2015-01-01,74.8334
2015-02-01,75.2916
2015-03-01,75.4046
2015-04-01,75.8787
2015-05-01,75.6627
2015-06-01,75.7641
2015-07-01,75.4773
2015-08-01,75.2920
2015-09-01,75.1749
2015-10-01,75.3732
