DATE,IPG321S
2010-12-01,93.5963
2011-01-01,93.2561
2011-02-01,93.0390
2011-03-01,95.4610
2011-04-01,93.2679
2011-05-01,94.6135
2011-06-01,93.4725
2011-07-01,93.7294
2011-08-01,92.8027
2011-09-01,95.6154
2011-10-01,95.1214
2011-11-01,95.1697
2011-12-01,96.2283
2012-01-01,97.9210
2012-02-01,97.1903
2012-03-01,97.8500
2012-04-01,99.3555
2012-05-01,101.1647
2012-06-01,99.4620
2012-07-01,99.7131
2012-08-01,100.1124
2012-09-01,99.3536
2012-10-01,100.7444
2012-11-01,103.3662
2012-12-01,103.7668
2013-01-01,104.4154
2013-02-01,106.7920
2013-03-01,105.6827
2013-04-01,103.9209
2013-05-01,104.5588
2013-06-01,105.1086
2013-07-01,104.1521
2013-08-01,105.8536
2013-09-01,107.7202
2013-10-01,107.1169
2013-11-01,108.0767
2013-12-01,105.9248
2014-01-01,103.0151
2014-02-01,103.6164
2014-03-01,105.6104
2014-04-01,106.1181
2014-05-01,108.2585
2014-06-01,108.6993
2014-07-01,110.1602
2014-08-01,110.9749
2014-09-01,110.1318
2014-10-01,111.0039
2014-11-01,110.7144
2014-12-01,112.1548
2015-01-01,110.3434
2015-02-01,110.7327
2015-03-01,110.3776
2015-04-01,111.2549
2015-05-01,111.3227
2015-06-01,111.4624
2015-07-01,113.5829
2015-08-01,114.1336
2015-09-01,114.6468
2015-10-01,114.6080
2015-11-01,113.6075
2015-12-01,116.2805
2016-01-01,116.1450
2016-02-01,115.0394
2016-03-01,115.4409
2016-04-01,115.7961
2016-05-01,115.2330
2016-06-01,116.4451
2016-07-01,115.8438
2016-08-01,115.9477
2016-09-01,116.4094
2016-10-01,118.2197
2016-11-01,121.4790
2016-12-01,121.1138
2017-01-01,122.0572
2017-02-01,123.2790
2017-03-01,123.0493
2017-04-01,122.5747
2017-05-01,122.4809
2017-06-01,121.8422
2017-07-01,123.4571
2017-08-01,123.9940
2017-09-01,125.7846
2017-10-01,125.7815
2017-11-01,127.4017
2017-12-01,127.0118
2018-01-01,126.2214
2018-02-01,128.6735
2018-03-01,128.5179
2018-04-01,127.7085
2018-05-01,127.1424
2018-06-01,127.4175
2018-07-01,126.7163
2018-08-01,128.1909
2018-09-01,128.2454
2018-10-01,126.3822
2018-11-01,125.2539
2018-12-01,125.0531
2019-01-01,126.5232
2019-02-01,125.0289
2019-03-01,123.4112
2019-04-01,124.5700
2019-05-01,125.8557
2019-06-01,126.2613
2019-07-01,127.0513
2019-08-01,127.1241
2019-09-01,127.8329
2019-10-01,129.8519
2019-11-01,128.7178
2019-12-01,129.5272
2020-01-01,132.6507
2020-02-01,131.7385
2020-03-01,126.3839
2020-04-01,111.5656
2020-05-01,115.9773
2020-06-01,120.9285
2020-07-01,126.6498
2020-08-01,124.7286
2020-09-01,124.4574
2020-10-01,126.5372
2020-11-01,127.0605
2020-12-01,130.0229
