DATE,IPMAN
2016-06-01,100.8661
2016-07-01,101.1049
2016-08-01,100.7339
2016-09-01,101.1269
2016-10-01,101.4347
2016-11-01,101.5178
2016-12-01,101.8808
2017-01-01,102.4892
2017-02-01,102.4152
2017-03-01,102.1635
2017-04-01,103.3416
2017-05-01,103.1555
2017-06-01,103.2793
2017-07-01,103.1101
2017-08-01,102.8276
2017-09-01,102.7012
2017-10-01,104.0931
2017-11-01,104.4259
2017-12-01,104.4342
2018-01-01,104.0461
2018-02-01,105.1667
2018-03-01,105.2262
2018-04-01,105.7471
2018-05-01,104.9650
2018-06-01,105.7913
2018-07-01,106.2412
2018-08-01,106.7033
2018-09-01,106.7100
2018-10-01,106.6054
2018-11-01,106.8101
2018-12-01,107.4963
2019-01-01,106.8790
2019-02-01,106.3204
2019-03-01,106.3014
2019-04-01,105.3737
2019-05-01,105.5026
2019-06-01,106.0976
2019-07-01,105.6872
2019-08-01,106.3504
2019-09-01,105.6556
2019-10-01,105.0590
2019-11-01,106.1088
2019-12-01,106.3594
2020-01-01,106.1753
2020-02-01,106.1033
2020-03-01,100.8026
2020-04-01,84.8494
2020-05-01,88.0935
2020-06-01,94.9994
2020-07-01,99.0410
2020-08-01,100.3632
2020-09-01,100.3881
2020-10-01,101.7326
2020-11-01,102.5802
2020-12-01,103.5577
