DATE,IPG313A4S
2001-04-01,188.1120
2001-05-01,183.8796
2001-06-01,181.8889
2001-07-01,179.3302
2001-08-01,180.1496
2001-09-01,182.1192
2001-10-01,177.6192
2001-11-01,175.0049
2001-12-01,176.6541
2002-01-01,177.0536
2002-02-01,178.2939
2002-03-01,182.5412
2002-04-01,184.4513
2002-05-01,184.9709
2002-06-01,187.3705
2002-07-01,184.3710
2002-08-01,184.5154
2002-09-01,184.9744
2002-10-01,183.9052
2002-11-01,185.9233
2002-12-01,185.2180
2003-01-01,179.5886
2003-02-01,182.4431
2003-03-01,181.8373
2003-04-01,181.2605
2003-05-01,177.5277
2003-06-01,177.0423
2003-07-01,171.6806
2003-08-01,170.4444
2003-09-01,171.0871
2003-10-01,172.9125
2003-11-01,176.0254
2003-12-01,173.7795
2004-01-01,177.6097
2004-02-01,172.4143
2004-03-01,168.9924
2004-04-01,171.0560
2004-05-01,174.2522
2004-06-01,172.6146
2004-07-01,176.7623
2004-08-01,174.9103
2004-09-01,173.8230
2004-10-01,177.7789
2004-11-01,174.2904
2004-12-01,174.9441
2005-01-01,178.4550
2005-02-01,178.3913
2005-03-01,178.2192
2005-04-01,175.0395
2005-05-01,176.4730
2005-06-01,176.0653
2005-07-01,178.1981
2005-08-01,177.4745
2005-09-01,177.5614
2005-10-01,176.6001
2005-11-01,174.9719
2005-12-01,171.8727
2006-01-01,172.6458
2006-02-01,170.3516
2006-03-01,167.4001
2006-04-01,165.0273
2006-05-01,162.6728
2006-06-01,160.7941
2006-07-01,159.9202
2006-08-01,157.7369
2006-09-01,155.0598
2006-10-01,152.1004
2006-11-01,149.7166
2006-12-01,148.6249
2007-01-01,146.0276
2007-02-01,144.0197
2007-03-01,144.2131
2007-04-01,144.6783
2007-05-01,143.9765
2007-06-01,144.7019
2007-07-01,141.6218
2007-08-01,138.7102
2007-09-01,138.9732
2007-10-01,138.2353
2007-11-01,137.7043
2007-12-01,137.1206
2008-01-01,133.6333
2008-02-01,132.9683
2008-03-01,132.7589
2008-04-01,129.9148
2008-05-01,129.4702
2008-06-01,127.5710
2008-07-01,125.4359
2008-08-01,125.3162
2008-09-01,121.3846
2008-10-01,118.2672
2008-11-01,112.4437
2008-12-01,105.3315
2009-01-01,105.3018
2009-02-01,100.3861
2009-03-01,98.1151
2009-04-01,98.0532
2009-05-01,96.1585
2009-06-01,97.0875
2009-07-01,93.9100
2009-08-01,96.2009
2009-09-01,95.8860
2009-10-01,99.3387
2009-11-01,102.2855
2009-12-01,101.9027
2010-01-01,102.2186
2010-02-01,103.1244
2010-03-01,103.6503
2010-04-01,104.5404
2010-05-01,106.5108
2010-06-01,105.7667
2010-07-01,107.3254
2010-08-01,107.2098
2010-09-01,106.7234
2010-10-01,105.7717
2010-11-01,104.9038
2010-12-01,106.7539
2011-01-01,103.6897
2011-02-01,107.0860
2011-03-01,104.3971
2011-04-01,105.7860
2011-05-01,105.4486
2011-06-01,104.4343
2011-07-01,103.1307
2011-08-01,101.1088
2011-09-01,101.0015
2011-10-01,100.2440
2011-11-01,99.8720
2011-12-01,100.9612
2012-01-01,101.1731
2012-02-01,101.7362
2012-03-01,99.6484
2012-04-01,99.9372
2012-05-01,98.1284
2012-06-01,100.5370
2012-07-01,99.1720
2012-08-01,99.3863
2012-09-01,100.5510
2012-10-01,101.1548
2012-11-01,99.2102
2012-12-01,99.3653
2013-01-01,101.7554
2013-02-01,102.6821
2013-03-01,103.3817
2013-04-01,102.2118
2013-05-01,103.0890
2013-06-01,104.3191
2013-07-01,103.4306
2013-08-01,104.5724
2013-09-01,104.4465
2013-10-01,103.9911
2013-11-01,105.4456
2013-12-01,104.6778
2014-01-01,103.0735
2014-02-01,101.7586
2014-03-01,105.9146
2014-04-01,105.8884
2014-05-01,105.5934
2014-06-01,106.4568
2014-07-01,107.9754
2014-08-01,107.0293
2014-09-01,106.6206
2014-10-01,106.0619
2014-11-01,107.0547
2014-12-01,105.8242
2015-01-01,103.2084
2015-02-01,103.7910
2015-03-01,103.2963
2015-04-01,102.6519
2015-05-01,102.5071
2015-06-01,101.3509
2015-07-01,99.9430
2015-08-01,99.1794
2015-09-01,98.9535
2015-10-01,98.8481
2015-11-01,98.3106
2015-12-01,98.6370
2016-01-01,100.5673
2016-02-01,98.9203
2016-03-01,98.8104
2016-04-01,97.4522
2016-05-01,98.3773
2016-06-01,98.2481
2016-07-01,99.0424
2016-08-01,97.9818
2016-09-01,99.8507
2016-10-01,99.8544
2016-11-01,100.4170
2016-12-01,98.0946
2017-01-01,100.5292
2017-02-01,99.3585
2017-03-01,99.1200
2017-04-01,99.9953
2017-05-01,99.6896
2017-06-01,99.6678
2017-07-01,99.6238
2017-08-01,99.4433
2017-09-01,99.9304
2017-10-01,99.9417
2017-11-01,98.9422
2017-12-01,100.1563
2018-01-01,101.0737
2018-02-01,102.3184
2018-03-01,100.8029
2018-04-01,100.9283
2018-05-01,99.9910
2018-06-01,100.7627
2018-07-01,100.7291
2018-08-01,102.2720
2018-09-01,100.7541
2018-10-01,102.1589
2018-11-01,100.7146
2018-12-01,98.8304
2019-01-01,99.5978
2019-02-01,99.5600
2019-03-01,101.1819
2019-04-01,100.0110
2019-05-01,99.1440
2019-06-01,99.5137
2019-07-01,96.5153
2019-08-01,97.6736
2019-09-01,97.5714
2019-10-01,97.0969
2019-11-01,97.1476
2019-12-01,96.6176
2020-01-01,97.9058
2020-02-01,97.6128
2020-03-01,93.1705
2020-04-01,70.3032
2020-05-01,78.8220
2020-06-01,83.2629
2020-07-01,85.8618
2020-08-01,88.5271
2020-09-01,92.4679
2020-10-01,92.1812
2020-11-01,90.0968
2020-12-01,91.7521
